loan_id,bureau_score,dti_ratio,employment_yrs,loan_amount,annual_income,default_flag,lgd
L00035,670,0.3958,6.1,19323.0,63740.0,0,0
L00036,749,0.2287,9.7,52453.0,31138.0,0,0
L00037,799,0.2375,1.2,23704.0,32581.0,0,0
L00038,522,0.2504,4.9,18591.0,63372.0,0,0
L00039,738,0.1021,7.2,23907.0,87620.0,0,0
L00040,747,0.0327,5.3,25816.0,83563.0,0,0
L00041,637,0.0994,8.6,20104.0,43868.0,0,0
L00042,550,0.5678,9.5,40054.0,47606.0,0,0
L00043,606,0.689,5.0,95160.0,48636.0,0,0
L00044,677,0.1763,2.9,47613.0,39718.0,0,0
L00045,666,0.1895,6.0,52529.0,122485.0,0,0
L00046,693,0.4555,5.9,24410.0,57017.0,0,0
L00047,678,0.4861,1.1,17978.0,78905.0,0,0
L00048,608,0.3446,1.1,27313.0,69652.0,0,0
L00049,742,0.3796,14.2,32618.0,54612.0,0,0
L00050,611,0.0655,25.5,56151.0,36576.0,0,0
L00051,531,0.2729,1.2,17502.0,41938.0,1,0.8342
L00052,735,0.3359,7.8,49841.0,114358.0,0,0
L00053,575,0.0986,1.7,12900.0,59922.0,0,0
L00054,540,0.0755,0.5,134682.0,90685.0,0,0
L00055,723,0.3304,2.1,23542.0,94642.0,0,0
L00056,654,0.1268,3.0,28707.0,117817.0,0,0
L00057,796,0.4185,7.1,56851.0,34061.0,0,0
L00058,671,0.4012,4.7,27842.0,65999.0,0,0
L00059,850,0.1767,6.3,36698.0,36686.0,0,0
L00060,671,0.6345,2.7,77395.0,87851.0,0,0
L00061,427,0.2706,4.0,38886.0,49592.0,0,0
L00062,526,0.2486,8.3,27158.0,59626.0,0,0
L00063,543,0.2359,5.3,20768.0,110026.0,0,0
L00064,593,0.2416,2.4,20763.0,248411.0,0,0
L00065,678,0.0554,5.9,52025.0,52805.0,0,0
L00066,594,0.4416,10.2,41575.0,57258.0,0,0
L00067,824,0.1585,5.1,33304.0,86671.0,0,0
L00068,688,0.2589,24.6,43786.0,71681.0,0,0
L00069,784,0.35,4.7,25627.0,82603.0,0,0
L00070,713,0.3295,5.2,27090.0,77267.0,0,0
L00071,642,0.1345,3.8,11058.0,55245.0,0,0
L00072,807,0.1646,17.1,54827.0,63420.0,0,0
L00073,630,0.6618,0.1,76992.0,94604.0,1,0.8524
L00074,586,0.1558,0.5,32187.0,45745.0,0,0
L00075,648,0.3177,15.0,51515.0,113449.0,0,0
L00076,698,0.0889,5.4,49105.0,46553.0,0,0
L00077,803,0.2485,0.0,52023.0,39201.0,0,0
L00078,736,0.0497,1.0,39655.0,54623.0,0,0
L00079,753,0.4494,16.6,17623.0,45760.0,0,0
L00080,739,0.1923,5.0,38618.0,54143.0,0,0
L00081,633,0.2947,3.0,25533.0,55921.0,0,0
L00082,530,0.2859,12.8,107817.0,67301.0,0,0
L00083,660,0.1637,6.4,26863.0,29207.0,0,0
L00084,715,0.1242,4.3,47698.0,88060.0,0,0
L00085,659,0.2091,6.9,23833.0,48212.0,0,0
L00086,614,0.5898,5.6,20369.0,58569.0,0,0
L00087,681,0.2095,5.5,19057.0,65242.0,0,0
L00088,640,0.2107,0.0,46959.0,42330.0,0,0
L00089,752,0.0388,4.3,45104.0,55282.0,0,0
L00090,554,0.1825,12.6,21257.0,61946.0,0,0
L00091,641,0.2394,11.8,22608.0,45934.0,0,0
L00092,740,0.2909,7.4,35577.0,89724.0,0,0
L00093,575,0.3109,0.4,33823.0,48787.0,0,0
L00094,635,0.3915,0.4,44362.0,55728.0,0,0
L00095,749,0.5422,0.8,61172.0,86772.0,0,0
L00096,626,0.186,0.9,31192.0,53195.0,0,0
L00097,708,0.0632,6.4,152344.0,96790.0,0,0
L00098,567,0.1405,13.9,27944.0,140523.0,0,0
L00099,641,0.4062,1.0,35767.0,32887.0,0,0
L00100,590,0.1495,8.3,21803.0,47275.0,0,0
L00101,618,0.4178,8.3,30909.0,129561.0,0,0
L00102,702,0.304,10.4,38259.0,27493.0,0,0
L00103,717,0.3445,2.2,36397.0,118019.0,0,0
L00104,654,0.5132,8.9,44147.0,82433.0,1,0.4067
L00105,666,0.1375,2.7,57778.0,65145.0,0,0
L00106,583,0.1853,1.4,29342.0,27380.0,0,0
L00107,781,0.2044,1.5,22060.0,96903.0,0,0
L00108,672,0.201,1.0,56797.0,94382.0,0,0
L00109,807,0.5034,0.2,78203.0,25395.0,0,0
L00110,733,0.353,11.0,36081.0,127657.0,0,0
L00111,675,0.3236,0.4,44313.0,69800.0,0,0
L00112,647,0.3935,2.3,81276.0,91303.0,1,0.6334
L00113,580,0.4233,4.3,37872.0,71037.0,1,0.8101
L00114,635,0.1911,1.7,73286.0,39895.0,0,0
L00115,783,0.2081,9.5,64378.0,60388.0,0,0
L00116,743,0.3174,2.3,64922.0,66509.0,0,0
L00117,807,0.3122,2.1,42049.0,121163.0,0,0
L00118,679,0.121,1.9,47790.0,88961.0,0,0
L00119,640,0.1976,14.2,15227.0,96692.0,0,0
L00120,667,0.2764,5.3,53771.0,75926.0,0,0
L00121,630,0.2289,0.4,18516.0,58867.0,0,0
L00122,850,0.1532,18.5,21957.0,64710.0,0,0
L00123,673,0.1142,1.4,52728.0,42172.0,0,0
L00124,740,0.4352,1.8,41781.0,41045.0,0,0
L00125,514,0.355,2.8,51893.0,49097.0,1,0.7366
L00126,685,0.1526,18.5,23302.0,78673.0,0,0
L00127,655,0.1252,4.7,37041.0,67225.0,0,0
L00128,679,0.478,3.8,46897.0,91930.0,0,0
L00129,785,0.4766,7.6,63630.0,94465.0,0,0
L00130,666,0.6692,0.8,47913.0,41278.0,0,0
L00131,611,0.1678,7.4,61776.0,91606.0,0,0
L00132,668,0.2407,1.8,28903.0,77455.0,0,0
L00133,810,0.151,19.6,52483.0,31658.0,0,0
L00134,622,0.2646,3.9,16162.0,66060.0,0,0
L00135,568,0.0523,7.4,67548.0,58445.0,0,0
L00136,657,0.1903,6.4,73660.0,56249.0,0,0
L00137,826,0.0518,1.7,33357.0,105456.0,0,0
L00138,606,0.1137,1.0,95801.0,76080.0,0,0
L00139,785,0.6839,1.0,23023.0,44696.0,0,0
L00140,545,0.5022,0.1,55774.0,45310.0,0,0
L00141,778,0.1778,0.7,42415.0,64848.0,0,0
L00142,603,0.4621,10.3,18991.0,72373.0,0,0
L00143,773,0.4194,3.7,23998.0,64761.0,0,0
L00144,718,0.4746,0.3,30726.0,82212.0,0,0
L00145,677,0.1442,13.6,18408.0,160369.0,0,0
L00146,574,0.2311,2.4,57725.0,65993.0,0,0
L00147,723,0.5996,5.6,39397.0,86561.0,0,0
L00148,769,0.1422,8.3,27008.0,45234.0,0,0
L00149,578,0.0758,1.2,36487.0,164209.0,0,0
L00150,608,0.3925,0.8,43322.0,49900.0,0,0
L00151,808,0.3514,14.2,72125.0,45872.0,0,0
L00152,559,0.2364,1.8,90829.0,134987.0,0,0
L00153,639,0.145,9.4,25262.0,87131.0,0,0
L00154,664,0.1108,3.3,58403.0,58462.0,0,0
L00155,730,0.3468,2.2,23866.0,59719.0,0,0
L00156,850,0.2951,1.3,24080.0,145233.0,0,0
L00157,721,0.2318,5.8,11308.0,59296.0,0,0
L00158,738,0.1395,3.9,41325.0,88068.0,0,0
L00159,694,0.0308,5.5,44064.0,59249.0,0,0
L00160,804,0.0412,0.1,82789.0,41246.0,0,0
L00161,705,0.2629,23.1,17253.0,141738.0,0,0
L00162,622,0.3373,2.8,63695.0,61404.0,0,0
L00163,793,0.467,11.5,38420.0,102386.0,0,0
L00164,556,0.2658,0.4,24805.0,95791.0,0,0
L00165,614,0.0923,18.3,18397.0,93018.0,0,0
L00166,796,0.1872,14.2,30257.0,69615.0,0,0
L00167,717,0.0684,6.7,30455.0,50790.0,0,0
L00168,559,0.1375,0.1,31629.0,67811.0,0,0
L00169,659,0.0455,4.2,22979.0,38435.0,0,0
L00170,756,0.0858,0.4,27373.0,77967.0,0,0
L00171,733,0.4022,8.4,22938.0,105602.0,0,0
L00172,722,0.3642,8.5,32740.0,68481.0,0,0
L00173,637,0.4731,8.5,55782.0,59777.0,0,0
L00174,588,0.4007,12.7,52070.0,88376.0,0,0
L00175,568,0.0754,5.2,46796.0,56371.0,0,0
L00176,653,0.269,3.0,24096.0,69711.0,0,0
L00177,717,0.3928,0.8,27004.0,36817.0,0,0
L00178,685,0.3086,8.3,53805.0,45886.0,0,0
L00179,492,0.2474,2.8,19213.0,43350.0,1,0.9226
L00180,605,0.2707,3.8,48828.0,75447.0,0,0
L00181,742,0.5552,0.4,29604.0,84052.0,0,0
L00182,588,0.1851,5.9,39827.0,38172.0,0,0
L00183,751,0.4834,5.8,23109.0,59245.0,0,0
L00184,704,0.519,0.9,31503.0,99367.0,0,0
L00185,784,0.2885,1.8,17877.0,81621.0,0,0
L00186,770,0.2668,0.9,24587.0,50111.0,0,0
L00187,624,0.1156,5.7,17258.0,195097.0,0,0
L00188,791,0.3528,3.0,94483.0,29128.0,0,0
L00189,750,0.0089,3.1,45224.0,26782.0,0,0
L00190,650,0.3217,2.1,42365.0,58738.0,0,0
L00191,714,0.6174,2.9,15995.0,24292.0,0,0
L00192,690,0.408,0.9,31951.0,74860.0,0,0
L00193,678,0.3636,0.0,90886.0,123602.0,0,0
L00194,676,0.0609,1.9,53036.0,154858.0,0,0
L00195,724,0.2588,6.4,41335.0,47022.0,0,0
L00196,678,0.0662,2.4,64839.0,39055.0,0,0
L00197,577,0.2827,5.4,25520.0,61845.0,0,0
L00198,644,0.1329,4.5,107784.0,65672.0,0,0
L00199,695,0.0535,5.0,36371.0,72306.0,0,0
L00200,481,0.407,1.1,64213.0,46338.0,0,0
L00201,667,0.5881,3.0,41571.0,133171.0,0,0
L00202,653,0.5345,3.7,86620.0,43166.0,0,0
L00203,660,0.0711,3.0,28573.0,65561.0,0,0
L00204,845,0.0769,3.6,23985.0,53205.0,0,0
L00205,743,0.2706,1.6,20388.0,60953.0,0,0
L00206,600,0.4866,9.3,26070.0,64772.0,0,0
L00207,575,0.387,7.1,32840.0,26340.0,0,0
L00208,704,0.2959,3.8,23339.0,73143.0,0,0
L00209,757,0.5804,8.6,15618.0,12599.0,0,0
L00210,621,0.1212,6.6,29309.0,37889.0,0,0
L00211,639,0.1507,16.7,25272.0,47618.0,0,0
L00212,656,0.2674,0.5,25972.0,62054.0,0,0
L00213,700,0.182,3.1,49170.0,93178.0,0,0
L00214,678,0.4448,0.1,34348.0,51486.0,0,0
L00215,731,0.0823,1.0,26653.0,50614.0,0,0
L00216,770,0.2691,3.7,64019.0,87318.0,0,0
L00217,504,0.4001,1.2,40468.0,22036.0,1,0.9328
L00218,696,0.1085,9.1,52021.0,90176.0,0,0
L00219,696,0.375,1.0,35967.0,59337.0,0,0
L00220,670,0.6853,1.1,11852.0,146897.0,0,0
L00221,770,0.1732,14.8,42402.0,33606.0,0,0
L00222,549,0.3218,14.9,68364.0,34508.0,0,0
L00223,763,0.2583,0.5,59675.0,109026.0,0,0
L00224,782,0.2319,0.0,25188.0,59305.0,0,0
L00225,753,0.4723,0.4,55306.0,40192.0,0,0
L00226,734,0.3377,14.3,26587.0,110032.0,0,0
L00227,673,0.1563,0.8,29479.0,35546.0,0,0
L00228,744,0.2645,1.8,30573.0,69702.0,0,0
L00229,746,0.2927,1.3,29391.0,114765.0,0,0
L00230,832,0.204,8.5,31249.0,109015.0,0,0
L00231,647,0.2019,4.8,20825.0,125719.0,0,0
L00232,684,0.4345,12.3,19792.0,52541.0,0,0
L00233,522,0.4518,2.7,17460.0,137787.0,1,0.7376
L00234,722,0.2077,1.6,16637.0,71169.0,0,0
L00235,651,0.3112,1.6,35466.0,45245.0,0,0
L00236,731,0.3492,8.7,85762.0,60814.0,0,0
L00237,636,0.3907,1.4,23023.0,76249.0,0,0
L00238,678,0.4372,2.3,40058.0,129215.0,0,0
L00239,767,0.5053,0.9,212502.0,142727.0,0,0
L00240,825,0.4509,7.3,49858.0,87272.0,0,0
L00241,627,0.3005,5.7,57610.0,29782.0,0,0
L00242,614,0.4303,0.3,55253.0,48873.0,0,0
L00243,796,0.4184,6.4,25466.0,54212.0,0,0
L00244,594,0.2546,3.8,48983.0,88821.0,0,0
L00245,722,0.6019,2.0,21027.0,81008.0,0,0
L00246,724,0.2631,3.2,77243.0,116857.0,0,0
L00247,630,0.1239,2.6,68702.0,56770.0,0,0
L00248,725,0.409,5.0,47547.0,93383.0,0,0
L00249,773,0.6176,2.3,19635.0,85232.0,0,0
L00250,738,0.2912,0.7,28486.0,46907.0,0,0
L00251,620,0.6215,2.2,66255.0,25493.0,1,0.876
L00252,638,0.2493,2.4,39229.0,22558.0,0,0
L00253,642,0.3385,8.9,23826.0,42216.0,0,0
L00254,791,0.1945,3.4,86577.0,62089.0,0,0
L00255,677,0.3819,1.7,52913.0,75063.0,0,0
L00256,737,0.0524,2.2,31531.0,83335.0,0,0
L00257,741,0.1615,8.0,22020.0,88758.0,0,0
L00258,665,0.169,5.8,20662.0,35333.0,0,0
L00259,646,0.4222,5.5,27151.0,72415.0,0,0
L00260,564,0.1418,9.1,17724.0,36454.0,0,0
L00261,631,0.2806,3.0,18945.0,69328.0,0,0
L00262,713,0.0826,3.5,16892.0,109838.0,0,0
L00263,694,0.3228,6.3,25276.0,41222.0,0,0
L00264,766,0.1125,6.4,15270.0,50554.0,0,0
L00265,672,0.1595,7.4,32071.0,59746.0,0,0
L00266,642,0.2571,0.7,28516.0,116072.0,0,0
L00267,850,0.2083,3.0,21258.0,118417.0,0,0
L00268,657,0.3264,5.0,18349.0,45507.0,0,0
L00269,795,0.5588,3.3,43566.0,45218.0,0,0
L00270,666,0.1274,0.1,14435.0,21367.0,0,0
L00271,666,0.5814,0.2,49027.0,64147.0,0,0
L00272,739,0.4087,18.6,25367.0,95994.0,0,0
L00273,764,0.3122,4.6,29301.0,72599.0,0,0
L00274,525,0.3125,0.7,40003.0,36293.0,1,0.864
L00275,591,0.3222,1.9,27056.0,28325.0,0,0
L00276,601,0.3987,2.0,31170.0,94996.0,0,0
L00277,780,0.0274,4.8,45734.0,48392.0,0,0
L00278,478,0.2426,11.4,21108.0,139677.0,1,0.4366
L00279,646,0.263,6.9,20969.0,51114.0,0,0
L00280,697,0.441,1.5,28009.0,56476.0,0,0
L00281,568,0.3202,0.4,51649.0,54810.0,0,0
L00282,655,0.4107,8.0,97132.0,23248.0,0,0
L00283,716,0.2163,0.7,66240.0,30774.0,0,0
L00284,555,0.184,0.9,26363.0,63580.0,1,0.6062
L00285,760,0.1073,1.8,42881.0,50513.0,0,0
L00286,764,0.1742,0.7,34555.0,41267.0,0,0
L00287,559,0.3023,4.4,29778.0,130252.0,0,0
L00288,584,0.5533,6.6,25980.0,60767.0,0,0
L00289,599,0.6098,3.0,53734.0,51275.0,0,0
L00290,547,0.1915,11.9,29015.0,57480.0,0,0
L00291,623,0.1967,3.9,16191.0,42903.0,0,0
L00292,791,0.3372,3.3,34934.0,59984.0,0,0
L00293,781,0.1843,0.6,10669.0,86196.0,0,0
L00294,733,0.3439,0.9,40768.0,63937.0,0,0
L00295,765,0.6543,5.4,29639.0,87540.0,0,0
L00296,850,0.2889,6.4,28370.0,66231.0,0,0
L00297,721,0.4117,4.8,36433.0,58835.0,0,0
L00298,713,0.3958,3.7,32330.0,61895.0,0,0
L00299,699,0.2506,0.5,19918.0,54360.0,0,0
L00300,604,0.4094,1.9,31578.0,71268.0,0,0
L00301,612,0.1359,7.7,35459.0,63775.0,0,0
L00302,715,0.1639,5.4,53322.0,73421.0,0,0
L00303,621,0.2512,16.7,34227.0,46193.0,0,0
L00304,722,0.207,6.2,169431.0,128492.0,0,0
L00305,714,0.0533,0.9,29487.0,69780.0,0,0
L00306,791,0.1077,12.3,22315.0,65314.0,0,0
L00307,704,0.1313,10.4,68313.0,75777.0,0,0
L00308,699,0.467,25.7,44226.0,60736.0,0,0
L00309,680,0.5829,3.2,11062.0,59810.0,0,0
L00310,715,0.1338,0.6,52208.0,98157.0,0,0
L00311,569,0.1604,3.4,28501.0,64185.0,0,0
L00312,692,0.2749,5.8,49759.0,33119.0,0,0
L00313,632,0.3174,2.3,36267.0,78770.0,0,0
L00314,639,0.3032,1.3,22694.0,40170.0,0,0
L00315,803,0.1968,27.1,67541.0,144540.0,0,0
L00316,840,0.3465,0.3,60733.0,73312.0,0,0
L00317,614,0.653,5.2,24828.0,57485.0,0,0
L00318,758,0.2016,0.9,54087.0,77875.0,0,0
L00319,722,0.2102,5.2,25502.0,97604.0,0,0
L00320,700,0.6143,0.5,37899.0,41114.0,1,0.6053
L00321,658,0.3058,0.1,99180.0,44971.0,0,0
L00322,736,0.3211,6.0,18244.0,81527.0,0,0
L00323,566,0.1928,2.9,31085.0,46524.0,1,0.8402
L00324,663,0.2879,4.1,32601.0,83556.0,0,0
L00325,673,0.0867,5.8,17704.0,94012.0,0,0
L00326,763,0.1224,1.6,41342.0,62122.0,0,0
L00327,664,0.5562,2.1,16221.0,86963.0,0,0
L00328,805,0.1763,8.8,14168.0,49689.0,0,0
L00329,546,0.3034,1.9,24119.0,61331.0,0,0
L00330,713,0.2623,2.0,24486.0,95167.0,0,0
L00331,656,0.1146,29.0,40707.0,90691.0,0,0
L00332,705,0.0821,2.9,15561.0,52021.0,0,0
L00333,594,0.2817,2.1,47814.0,62958.0,0,0
L00334,687,0.1671,1.0,49564.0,104273.0,0,0
L00335,605,0.2544,5.1,18020.0,36441.0,0,0
L00336,743,0.275,6.0,26098.0,66027.0,0,0
L00337,703,0.3388,6.2,53004.0,90436.0,0,0
L00338,769,0.2638,6.9,33479.0,72056.0,0,0
L00339,595,0.1529,0.9,30183.0,111772.0,0,0
L00340,537,0.3631,4.1,12742.0,97738.0,0,0
L00341,603,0.3818,25.1,28483.0,74964.0,0,0
L00342,706,0.4453,2.2,22247.0,65636.0,0,0
L00343,747,0.5402,5.8,73726.0,67290.0,0,0
L00344,724,0.5507,2.1,57886.0,30482.0,0,0
L00345,818,0.4642,0.8,36412.0,50730.0,0,0
L00346,689,0.3528,0.7,15748.0,31463.0,0,0
L00347,542,0.1099,5.3,18419.0,78291.0,1,0.7276
L00348,678,0.1971,1.8,77170.0,84205.0,0,0
L00349,687,0.832,0.6,34758.0,34882.0,0,0
L00350,523,0.3016,0.8,44874.0,24864.0,0,0
L00351,790,0.034,5.4,89225.0,41260.0,0,0
L00352,718,0.0567,1.0,36353.0,37781.0,0,0
L00353,643,0.1896,19.1,36523.0,145709.0,0,0
L00354,709,0.4464,5.3,20490.0,68828.0,0,0
L00355,801,0.4478,8.0,56959.0,86639.0,0,0
L00356,850,0.1174,0.6,9898.0,137364.0,0,0
L00357,609,0.1468,1.6,47478.0,19181.0,0,0
L00358,722,0.25,5.8,24659.0,57508.0,0,0
L00359,661,0.301,0.1,25944.0,75870.0,0,0
L00360,604,0.2926,2.6,31278.0,86802.0,0,0
L00361,518,0.4757,0.2,25897.0,66323.0,0,0
L00362,654,0.0768,8.8,34289.0,66346.0,0,0
L00363,774,0.4153,13.9,44114.0,52312.0,0,0
L00364,797,0.4385,1.4,89592.0,55931.0,0,0
L00365,574,0.3264,7.3,81947.0,70334.0,0,0
L00366,774,0.156,7.3,32099.0,30476.0,0,0
L00367,527,0.2818,2.6,14733.0,36910.0,0,0
L00368,720,0.5514,5.3,87930.0,30839.0,0,0
L00369,628,0.2918,3.0,97590.0,36386.0,0,0
L00370,582,0.249,1.7,13010.0,39770.0,0,0
L00371,643,0.0908,3.3,41631.0,51842.0,0,0
L00372,576,0.2972,4.7,41028.0,124299.0,0,0
L00373,574,0.0397,1.8,36625.0,36544.0,0,0
L00374,637,0.0626,5.6,46210.0,164523.0,0,0
L00375,608,0.1601,6.5,25823.0,27020.0,0,0
L00376,800,0.0442,4.2,28739.0,77408.0,0,0
L00377,599,0.2124,7.7,34563.0,58119.0,0,0
L00378,728,0.434,8.6,32153.0,61038.0,0,0
L00379,638,0.2204,5.4,24816.0,49500.0,0,0
L00380,580,0.3358,1.6,36872.0,49593.0,0,0
L00381,661,0.1518,2.9,19940.0,70853.0,0,0
L00382,617,0.2284,9.0,56710.0,24803.0,0,0
L00383,632,0.1846,3.2,32185.0,83892.0,0,0
L00384,593,0.1427,2.5,60560.0,57450.0,0,0
L00385,627,0.1224,0.5,23716.0,102419.0,0,0
L00386,751,0.2346,2.4,17427.0,85972.0,0,0
L00387,703,0.3164,4.3,35309.0,55742.0,0,0
L00388,582,0.2804,8.4,52825.0,59018.0,0,0
L00389,748,0.1453,1.1,45608.0,119912.0,0,0
L00390,527,0.1361,0.3,96098.0,25081.0,0,0
L00391,691,0.268,3.9,47354.0,38772.0,0,0
L00392,803,0.3514,3.3,13416.0,52434.0,0,0
L00393,613,0.1344,2.2,18369.0,92632.0,0,0
L00394,628,0.2741,19.1,44271.0,31572.0,0,0
L00395,761,0.6531,0.5,33141.0,105658.0,0,0
L00396,781,0.0473,3.6,32888.0,10735.0,0,0
L00397,674,0.636,0.9,73517.0,49055.0,0,0
L00398,700,0.2126,4.5,21146.0,85600.0,0,0
L00399,537,0.0922,7.4,24306.0,69532.0,0,0
L00400,693,0.1595,0.9,32070.0,140483.0,0,0
L00401,588,0.2272,5.7,17784.0,95055.0,0,0
L00402,765,0.1142,6.9,59201.0,40339.0,0,0
L00403,722,0.5543,1.2,28844.0,89835.0,0,0
L00404,771,0.3472,11.3,45468.0,38402.0,0,0
L00405,736,0.1841,0.9,31237.0,41738.0,0,0
L00406,649,0.2309,1.2,148287.0,73574.0,0,0
L00407,625,0.3869,13.5,44023.0,68331.0,0,0
L00408,653,0.1823,7.7,37592.0,57783.0,0,0
L00409,603,0.2323,0.4,31311.0,69840.0,1,0.6198
L00410,773,0.5462,6.6,24767.0,95134.0,0,0
L00411,772,0.1275,27.4,47334.0,201744.0,0,0
L00412,718,0.2802,12.5,24764.0,34293.0,0,0
L00413,632,0.5015,8.0,10660.0,42796.0,0,0
L00414,693,0.5318,7.9,63385.0,50997.0,0,0
L00415,573,0.485,4.7,35909.0,44272.0,0,0
L00416,742,0.4112,5.1,37559.0,157135.0,0,0
L00417,720,0.6213,0.5,22117.0,62545.0,0,0
L00418,765,0.4851,5.8,78020.0,25805.0,0,0
L00419,639,0.1764,0.2,35793.0,67372.0,0,0
L00420,628,0.2871,0.5,31666.0,57053.0,0,0
L00421,792,0.4,5.0,12850.0,104518.0,0,0
L00422,824,0.1931,5.1,40752.0,7087.0,0,0
L00423,713,0.5075,4.3,82726.0,29545.0,1,0.9207
L00424,624,0.1866,1.4,38208.0,38278.0,0,0
L00425,756,0.1201,0.1,30645.0,102722.0,0,0
L00426,729,0.1971,0.4,60228.0,29787.0,0,0
L00427,774,0.6624,6.7,138321.0,35383.0,0,0
L00428,646,0.2119,6.2,28200.0,44216.0,0,0
L00429,733,0.4763,5.7,29611.0,46240.0,0,0
L00430,666,0.0911,1.7,60991.0,111310.0,0,0
L00431,732,0.1872,3.7,42381.0,144114.0,0,0
L00432,640,0.1853,0.3,55019.0,53356.0,0,0
L00433,630,0.4104,0.7,49004.0,40170.0,0,0
L00434,775,0.3255,6.2,93682.0,70867.0,0,0
L00435,747,0.177,0.2,28587.0,47245.0,0,0
L00436,697,0.2189,0.8,34443.0,110200.0,0,0
L00437,614,0.6492,4.2,67886.0,109598.0,0,0
L00438,690,0.1548,9.2,34508.0,65644.0,0,0
L00439,677,0.2562,3.6,24732.0,294342.0,0,0
L00440,696,0.1378,2.3,27316.0,86352.0,0,0
L00441,762,0.4337,10.1,19975.0,109878.0,0,0
L00442,664,0.5536,2.4,38110.0,40879.0,0,0
L00443,685,0.114,5.3,64726.0,58554.0,0,0
L00444,680,0.081,4.2,84908.0,55982.0,0,0
L00445,575,0.1218,2.7,62874.0,40815.0,0,0
L00446,671,0.4047,7.0,48725.0,145781.0,0,0
L00447,631,0.0965,3.3,7821.0,40000.0,0,0
L00448,567,0.1286,3.7,38612.0,76736.0,0,0
L00449,811,0.1332,4.6,51207.0,84710.0,0,0
L00450,748,0.2132,0.4,77487.0,60615.0,0,0
L00451,679,0.2809,1.1,55388.0,52049.0,0,0
L00452,709,0.2175,1.4,38827.0,64085.0,0,0
L00453,703,0.1232,4.5,10670.0,39171.0,0,0
L00454,740,0.2731,0.7,77801.0,63012.0,0,0
L00455,728,0.3201,9.7,63447.0,72202.0,0,0
L00456,723,0.2989,0.4,21799.0,65282.0,0,0
L00457,708,0.4903,6.5,18712.0,65950.0,0,0
L00458,675,0.3677,2.6,35653.0,77476.0,0,0
L00459,567,0.0963,2.4,43540.0,67223.0,0,0
L00460,681,0.3265,5.4,35906.0,23019.0,0,0
L00461,699,0.285,2.4,35039.0,84803.0,0,0
L00462,674,0.5524,3.3,12952.0,92635.0,0,0
L00463,524,0.2903,4.8,30994.0,36223.0,1,0.6611
L00464,703,0.3244,12.1,21244.0,45403.0,0,0
L00465,523,0.1653,2.4,29140.0,80328.0,0,0
L00466,608,0.1541,4.8,29500.0,58857.0,0,0
L00467,733,0.2631,0.5,31256.0,97962.0,0,0
L00468,596,0.5369,2.8,37905.0,47885.0,0,0
L00469,684,0.0215,1.2,23238.0,64395.0,0,0
L00470,629,0.2239,2.3,25446.0,75144.0,0,0
L00471,617,0.0876,5.2,21506.0,54661.0,0,0
L00472,816,0.18,2.9,41393.0,42687.0,0,0
L00473,718,0.3755,0.4,69989.0,106877.0,0,0
L00474,569,0.5159,6.6,78970.0,98200.0,0,0
L00475,683,0.2529,2.7,25086.0,122899.0,0,0
L00476,720,0.369,1.9,29553.0,107841.0,0,0
L00477,687,0.4033,4.0,19408.0,98879.0,0,0
L00478,665,0.3077,8.6,27245.0,152476.0,0,0
L00479,662,0.5697,6.3,91387.0,60378.0,0,0
